transaction_id,amount,hour,txn_velocity_last_hour,account_age_days,new_device_flag,distance_from_home_km,merchant_category,risk_score,is_fraud
TXN100028,544.02,17,1,923,0,18.9,Dining,0.0,0
TXN100029,1520.26,19,0,2695,0,10.9,Fashion,0.1032,0
TXN100030,3362.8,23,0,1083,0,21.8,Online Services,0.1691,0
TXN100031,1861.3,22,1,177,0,,Fashion,0.0,0
TXN100032,614.02,4,0,1989,0,11.8,Online Services,0.0261,0
TXN100033,3157.59,22,0,1518,0,4.2,Utilities,0.1346,0
TXN100034,256.12,15,0,1475,0,6.0,Utilities,0.0,0
TXN100035,1130.49,14,1,2460,0,5.6,Entertainment,0.0413,0
TXN100036,558.32,9,0,737,0,116.2,Utilities,0.3934,0
TXN100037,944.93,7,3,519,0,40.2,Utilities,0.2419,0
TXN100038,1897.01,22,2,2223,0,15.2,Electronics,0.0408,0
TXN100039,3238.78,11,0,1360,0,6.3,Utilities,0.2272,0
TXN100040,959.16,4,0,289,0,56.6,Grocery,0.1237,0
TXN100041,3761.93,13,3,2184,0,60.5,Entertainment,0.5594,0
TXN100042,426.35,9,2,1925,1,76.8,Utilities,0.3542,0
TXN100043,2536.67,22,0,2432,0,26.4,Entertainment,0.1802,0
TXN100044,1378.92,23,2,243,0,44.3,Online Services,0.1348,0
TXN100045,668.39,14,0,1328,0,7.9,Travel,0.0437,0
TXN100046,1726.53,12,1,1100,0,14.6,Utilities,0.1823,0
TXN100047,106.03,23,0,2184,0,14.1,Electronics,0.0,0
TXN100048,472.2,0,0,1981,0,11.3,Entertainment,0.0,0
TXN100049,987.97,12,0,1608,0,33.7,Travel,0.0434,0
TXN100050,3231.89,6,0,1925,0,11.2,Travel,0.0,0
TXN100051,876.47,11,1,2470,0,12.5,Online Services,0.0,0
TXN100052,1174.32,8,4,1352,1,45.8,Dining,0.3145,0
TXN100053,4959.46,14,0,2494,0,32.6,Grocery,0.0207,0
TXN100054,2917.22,16,0,1774,0,41.3,Travel,0.082,0
TXN100055,1395.21,15,3,2148,0,66.3,Travel,0.4846,0
TXN100056,208.31,11,2,2074,0,8.8,Electronics,0.1634,0
TXN100057,3075.36,13,0,685,0,46.4,Entertainment,0.2256,0
TXN100058,2481.31,9,5,1253,0,34.0,Grocery,0.3155,0
TXN100059,614.14,17,0,2737,0,5.1,Utilities,0.0,0
TXN100060,2573.8,22,0,1201,0,56.7,Grocery,0.1897,0
TXN100061,1808.35,2,3,138,1,197.5,Travel,0.3537,1
TXN100062,905.0,4,0,1757,1,0.9,Electronics,0.1673,0
TXN100063,2266.73,11,0,2607,0,10.3,Online Services,0.0,0
TXN100064,3597.54,12,1,2520,0,18.8,Dining,0.1053,0
TXN100065,2361.78,20,1,2871,0,3.3,Fashion,0.1961,0
TXN100066,1875.12,15,2,1965,0,28.5,Fashion,0.1583,0
TXN100067,1620.86,14,2,1264,0,12.6,Fashion,0.0,0
TXN100068,2257.03,13,1,1925,0,28.6,Travel,0.0065,0
TXN100069,5322.25,18,1,2965,0,15.6,Grocery,0.521,0
TXN100070,2547.81,17,0,1946,0,65.7,Online Services,0.2409,0
TXN100071,1647.51,17,2,1287,0,16.6,Grocery,0.1347,0
TXN100072,3817.93,16,2,1125,0,23.4,Dining,0.3972,0
TXN100073,1951.35,15,1,1139,0,24.8,Travel,0.0007,0
TXN100074,2602.47,18,1,486,0,25.0,Utilities,0.0429,0
TXN100075,521.19,20,2,2125,0,21.8,Electronics,0.0448,0
TXN100076,2097.85,12,1,440,0,32.6,Travel,0.2543,0
TXN100077,424.87,22,1,2588,0,62.6,Utilities,0.0,0
TXN100078,606.12,13,3,1787,0,20.9,Fashion,0.3773,0
TXN100079,103.66,9,1,2723,0,13.7,Dining,0.1395,0
TXN100080,1846.47,6,0,1816,0,48.6,Grocery,0.1968,0
TXN100081,1668.81,12,1,205,0,3.6,Electronics,0.1034,0
TXN100082,2408.47,23,0,652,0,7.9,Dining,0.168,0
TXN100083,1850.0,22,0,792,0,86.6,Utilities,0.0685,0
TXN100084,1946.29,7,1,449,0,20.3,Fashion,0.0785,0
TXN100085,499.34,21,1,1244,1,33.1,Travel,0.2758,0
TXN100086,1162.91,9,0,1755,0,29.4,Dining,0.0,0
TXN100087,486.34,15,0,1909,0,8.3,Fashion,0.0,0
TXN100088,1119.19,7,0,1055,0,66.5,Entertainment,0.0,0
TXN100089,1429.0,17,2,1558,0,13.5,Entertainment,0.0052,0
TXN100090,1886.5,7,0,2419,0,28.7,Electronics,0.0,0
TXN100091,254.67,9,0,2224,0,27.3,Fashion,0.0842,0
TXN100092,880.89,11,2,1389,0,23.1,Grocery,0.2431,0
TXN100093,625.48,16,1,2810,0,13.7,Utilities,0.2687,0
TXN100094,770.89,8,3,2550,0,25.6,Electronics,0.0878,0
TXN100095,2825.68,21,2,2156,0,25.2,Travel,0.0996,0
TXN100096,1931.35,12,1,2463,0,90.5,Fashion,0.0352,0
TXN100097,239.5,9,1,2421,0,11.5,Online Services,0.0,0
TXN100098,890.63,7,1,2173,0,24.6,Electronics,0.2854,0
TXN100099,1008.73,13,0,2869,0,25.9,Utilities,0.0716,0
TXN100100,1077.64,16,3,192,0,23.0,Grocery,0.1644,0
TXN100101,250.83,9,1,443,0,62.0,Electronics,0.2281,0
TXN100102,1048.16,8,1,1540,0,30.0,Dining,0.0229,0
TXN100103,725.32,12,1,658,1,44.7,Entertainment,0.1412,0
TXN100104,3304.48,14,1,1075,0,46.2,Fashion,0.0981,0
TXN100105,621.6,18,1,2064,0,5.5,Grocery,0.0,0
TXN100106,2014.42,10,0,1593,0,18.3,Grocery,0.0,0
TXN100107,816.33,9,1,1120,1,6.9,Fashion,0.2899,0
TXN100108,1024.53,14,0,2330,0,23.5,Utilities,0.2719,0
TXN100109,2931.55,8,0,2479,0,20.9,Entertainment,0.0597,0
TXN100110,1482.78,15,0,2295,0,,Grocery,0.1218,0
TXN100111,525.61,8,1,2763,0,29.8,Utilities,0.0,0
TXN100112,1366.01,20,0,2256,0,19.1,Travel,0.0832,0
TXN100113,1684.19,22,1,2195,0,26.4,Entertainment,0.081,0
TXN100114,1423.92,16,0,1677,0,25.7,Grocery,0.0374,0
TXN100115,1999.62,17,1,2730,1,5.0,Electronics,0.3256,0
TXN100116,1393.7,18,1,1874,0,80.2,Utilities,0.0,0
TXN100117,2136.34,17,1,2385,0,89.3,Online Services,0.3673,0
TXN100118,633.82,21,0,1002,0,22.7,Grocery,0.1811,0
TXN100119,3365.72,18,3,2676,0,17.4,Fashion,0.1835,0
TXN100120,2123.5,19,0,790,0,48.8,Entertainment,0.1076,0
TXN100121,941.34,15,1,2096,0,31.7,Online Services,0.2549,0
TXN100122,1741.76,20,0,373,0,35.3,Fashion,0.0782,0
TXN100123,3028.48,19,0,979,0,1.2,Online Services,0.2257,0
TXN100124,929.05,4,0,922,0,14.2,Fashion,0.0575,0
TXN100125,2762.42,12,1,2376,0,24.8,Electronics,0.1876,0
TXN100126,2136.32,18,2,2160,0,24.1,Travel,0.1366,0
TXN100127,3263.49,20,0,2155,0,17.1,Electronics,0.0,0
TXN100128,1648.52,6,0,590,0,44.3,Utilities,0.0,0
TXN100129,304.83,17,2,2825,0,2.7,Electronics,0.0834,0
TXN100130,2413.97,19,2,2849,1,29.2,Dining,0.5528,0
TXN100131,3336.32,20,1,1553,0,23.3,Online Services,0.2761,0
TXN100132,1948.57,12,1,469,0,6.6,Online Services,0.042,0
TXN100133,1371.38,21,0,1383,0,10.4,Dining,0.0359,0
TXN100134,1698.53,15,1,1437,0,63.0,Utilities,0.2168,0
TXN100135,1200.2,13,0,1802,0,41.5,Electronics,0.2138,0
TXN100136,2123.2,12,2,1578,0,11.3,Travel,0.0464,0
TXN100137,2959.94,14,3,321,0,70.0,Grocery,0.3641,0
TXN100138,525.53,14,0,706,0,20.8,Travel,0.0763,0
TXN100139,1886.24,7,4,1318,0,38.7,Travel,0.3876,0
TXN100140,277.82,4,4,2053,0,10.4,Electronics,0.2395,0
TXN100141,4309.0,17,0,2738,0,14.8,Electronics,0.1837,0
TXN100142,3009.13,16,0,2892,0,2.3,Travel,0.1646,0
TXN100143,2448.01,10,3,2453,0,38.8,Fashion,0.3166,0
TXN100144,1566.82,22,0,2662,0,51.4,Travel,0.0,0
TXN100145,1470.23,15,0,112,0,10.8,Electronics,0.0427,0
TXN100146,2596.06,12,0,2419,0,27.8,Fashion,0.1432,0
TXN100147,1565.01,5,0,1963,0,8.6,Entertainment,0.0,0
TXN100148,4723.83,17,2,1863,0,28.3,Electronics,0.2002,0
TXN100149,4178.03,15,1,1491,0,34.8,Online Services,0.3413,0
TXN100150,1084.5,20,0,715,0,1.8,Dining,0.0,0
TXN100151,7988.25,17,1,1421,0,40.3,Entertainment,0.1608,0
TXN100152,1094.97,8,1,535,1,4.0,Online Services,0.3643,0
TXN100153,1425.65,8,2,2492,0,5.6,Travel,0.0554,0
TXN100154,1229.91,1,0,2558,0,10.1,Utilities,0.1334,0
TXN100155,1814.44,23,0,2913,0,9.2,Online Services,0.2362,0
TXN100156,1719.91,13,2,1090,1,57.9,Utilities,0.5358,0
TXN100157,3448.07,11,0,2950,0,7.4,Travel,0.0326,0
TXN100158,3567.26,12,1,1353,0,13.6,Electronics,0.1775,0
TXN100159,1047.08,8,0,1030,0,28.4,Entertainment,0.3333,0
TXN100160,571.16,0,2,783,0,3.2,Electronics,0.1526,0
TXN100161,1852.97,13,1,551,0,35.6,Fashion,0.1197,0
TXN100162,862.63,1,0,1327,1,17.0,Online Services,0.0373,0
TXN100163,1946.63,18,0,642,0,42.4,Grocery,0.0,0
TXN100164,2092.0,20,0,886,0,10.2,Electronics,0.1085,0
TXN100165,1655.69,10,3,1345,1,44.0,Utilities,0.3789,0
TXN100166,1594.32,11,3,2428,0,7.1,Fashion,0.0783,0
TXN100167,2507.53,20,3,1127,0,89.2,Grocery,0.2447,0
TXN100168,1125.75,20,0,379,0,37.4,Grocery,0.0302,0
TXN100169,2748.23,13,4,1032,0,17.8,Entertainment,0.3252,0
TXN100170,895.81,0,1,1681,1,34.0,Travel,0.417,0
TXN100171,852.46,6,1,1845,0,34.4,Utilities,0.1858,0
TXN100172,1660.75,13,0,1688,0,11.3,Utilities,0.3191,0
TXN100173,3182.54,20,1,2096,0,36.4,Travel,0.1404,0
TXN100174,4937.72,21,0,1157,1,4.6,Electronics,0.418,0
TXN100175,2032.57,22,1,78,1,73.7,Entertainment,0.2677,1
TXN100176,382.84,11,2,1287,0,17.4,Online Services,0.0,0
TXN100177,4613.42,17,1,1936,0,17.1,Travel,0.2469,0
TXN100178,517.74,22,1,2052,0,20.5,Dining,0.3918,0
TXN100179,1075.77,9,2,2479,0,24.1,Fashion,0.171,0
TXN100180,2590.72,12,0,2838,0,26.1,Travel,0.2808,0
TXN100181,1628.6,17,2,1828,0,5.7,Entertainment,0.0499,0
TXN100182,511.01,12,1,1466,0,5.1,Utilities,0.0,0
TXN100183,1993.79,11,1,956,1,9.8,Grocery,0.1728,0
TXN100184,233.35,17,1,2919,0,5.5,Travel,0.0,0
TXN100185,1895.12,11,1,628,0,67.6,Fashion,0.1382,0
TXN100186,4996.05,17,1,1628,0,5.6,Utilities,0.2867,0
TXN100187,1098.24,14,1,357,0,6.1,Utilities,0.0696,0
TXN100188,715.85,11,2,384,0,25.7,Grocery,0.0176,0
TXN100189,909.46,2,0,669,0,16.4,Entertainment,0.2243,0
TXN100190,506.72,14,0,2693,0,4.7,Dining,0.2427,0
TXN100191,1422.86,15,1,417,0,14.8,Fashion,0.0234,0
TXN100192,2764.86,16,3,79,0,42.5,Electronics,0.0949,0
TXN100193,823.34,14,0,2048,1,,Grocery,0.2279,0
TXN100194,2113.54,11,0,2552,0,6.6,Travel,0.2929,0
TXN100195,777.15,6,0,1296,1,12.8,Grocery,0.2163,0
TXN100196,1819.05,12,0,2490,0,57.6,Grocery,0.1151,0
TXN100197,1115.95,7,1,2010,0,7.4,Grocery,0.0,0
TXN100198,756.44,16,1,1679,0,3.7,Electronics,0.0123,0
TXN100199,751.91,10,2,1709,0,4.3,Utilities,0.1695,0
TXN100200,3139.45,13,1,184,0,25.3,Entertainment,0.089,0
TXN100201,396.82,15,3,1714,0,14.2,Utilities,0.0913,0
TXN100202,2003.43,17,2,568,0,25.0,Electronics,0.1169,0
TXN100203,6534.93,10,0,1550,0,40.4,Electronics,0.2501,0
TXN100204,1297.82,14,1,1937,1,37.3,Fashion,0.354,0
TXN100205,2586.55,14,1,2047,0,15.7,Online Services,0.3017,0
TXN100206,2176.05,21,1,2251,0,68.5,Grocery,0.1265,0
TXN100207,2107.4,21,3,1207,0,33.7,Dining,0.0127,0
TXN100208,906.97,16,1,2751,0,14.0,Electronics,0.0,0
TXN100209,770.04,21,1,1509,0,12.1,Grocery,0.0218,0
TXN100210,3163.28,16,0,399,0,14.2,Travel,0.0881,0
TXN100211,665.69,12,1,202,0,6.2,Online Services,0.0826,0
TXN100212,355.75,4,2,891,0,6.2,Electronics,0.1217,0
TXN100213,1245.4,19,0,1309,0,33.8,Electronics,0.0944,0
TXN100214,436.81,6,2,1185,0,59.7,Online Services,0.0275,0
TXN100215,4147.21,14,1,183,0,14.0,Grocery,0.3661,0
TXN100216,1348.8,13,1,1663,0,90.4,Dining,0.1726,0
TXN100217,960.25,15,1,1059,0,60.0,Online Services,0.1284,0
TXN100218,2994.83,6,2,1040,0,39.7,Dining,0.4628,0
TXN100219,2077.71,8,0,2973,1,52.2,Fashion,0.3362,0
TXN100220,1433.66,7,3,2270,0,21.4,Electronics,0.1598,0
TXN100221,1385.96,22,0,1703,0,43.1,Entertainment,0.0864,0
TXN100222,1464.79,14,1,2203,0,1.6,Utilities,0.1975,0
TXN100223,1484.44,18,1,1043,0,17.2,Fashion,0.0,0
TXN100224,855.45,16,3,589,1,5.1,Travel,0.2631,0
TXN100225,1363.71,18,0,1533,0,3.6,Fashion,0.0,0
TXN100226,4314.75,19,0,621,0,9.2,Dining,0.1537,0
TXN100227,6605.77,16,1,1840,0,43.4,Entertainment,0.0543,0
TXN100228,2366.17,15,0,122,0,17.8,Dining,0.0,0
TXN100229,922.44,13,3,2938,0,12.4,Entertainment,0.2036,0
TXN100230,1079.14,12,0,2766,0,42.5,Travel,0.0,0
TXN100231,1184.96,6,1,1841,0,10.7,Fashion,0.0,0
TXN100232,356.16,22,2,2323,0,3.3,Entertainment,0.1169,0
TXN100233,2276.73,10,1,2851,0,7.1,Dining,0.034,0
TXN100234,2346.62,18,1,1205,0,10.1,Utilities,0.1722,0
TXN100235,2406.8,18,0,2722,0,5.9,Online Services,0.2577,0
TXN100236,1374.64,9,2,1905,0,6.9,Electronics,0.2956,0
TXN100237,1394.87,16,1,2977,0,25.2,Utilities,0.1543,0
TXN100238,211.42,19,2,2966,0,30.7,Utilities,0.196,0
TXN100239,2967.17,13,1,1773,0,56.3,Entertainment,0.0206,0
TXN100240,1049.04,13,0,256,0,12.6,Dining,0.0,0
TXN100241,1090.1,11,1,2810,0,6.5,Online Services,0.035,0
TXN100242,6103.21,11,2,1189,0,1.3,Dining,0.1143,0
TXN100243,1363.1,18,4,917,0,12.6,Travel,0.3053,0
TXN100244,2471.86,20,3,1372,0,18.2,Utilities,0.1851,0
TXN100245,1852.36,23,2,687,0,12.4,Entertainment,0.0991,0
TXN100246,1302.72,19,2,1454,0,16.4,Entertainment,0.3355,0
TXN100247,1243.12,16,3,1040,0,2.9,Dining,0.3219,0
TXN100248,674.56,4,0,1305,1,26.3,Entertainment,0.1027,0
TXN100249,620.42,19,1,1996,0,26.5,Grocery,0.0307,0
TXN100250,825.0,6,0,2324,0,37.2,Online Services,0.1099,0
TXN100251,1056.99,13,1,2588,0,4.1,Dining,0.0528,0
TXN100252,642.7,9,1,1004,0,16.5,Fashion,0.0,0
TXN100253,519.72,23,0,1829,0,,Grocery,0.0,0
TXN100254,1465.14,22,0,1040,0,60.8,Travel,0.0,0
TXN100255,558.67,16,0,2936,0,,Online Services,0.0,0
TXN100256,1802.89,19,0,215,0,4.5,Grocery,0.0362,0
TXN100257,3322.83,21,2,2030,0,25.3,Electronics,0.2315,0
TXN100258,4340.96,23,1,1802,0,34.6,Online Services,0.1556,0
TXN100259,2885.22,9,2,1770,0,10.8,Grocery,0.3418,0
TXN100260,672.18,14,1,2665,0,1.2,Dining,0.0983,0
TXN100261,2493.1,14,1,1038,0,8.5,Online Services,0.2154,0
TXN100262,1356.77,12,1,1469,0,8.0,Fashion,0.02,0
TXN100263,1419.51,16,1,1904,0,0.1,Dining,0.0,0
TXN100264,2791.53,20,1,199,0,,Online Services,0.0087,0
TXN100265,3103.6,20,1,1475,0,1.1,Dining,0.1777,0
TXN100266,214.14,0,2,706,0,48.6,Online Services,0.1744,0
TXN100267,122.67,20,2,2493,0,2.4,Grocery,0.0,0
TXN100268,718.73,0,1,43,0,71.4,Travel,0.0,0
TXN100269,2704.54,12,3,737,0,1.3,Utilities,0.0442,0
TXN100270,1878.79,23,1,794,0,48.3,Entertainment,0.1072,0
TXN100271,3211.53,11,0,2443,0,15.1,Dining,0.0629,0
TXN100272,616.2,8,2,1891,0,34.2,Electronics,0.1111,0
TXN100273,2847.6,22,1,1750,0,22.1,Grocery,0.3248,0
TXN100274,495.74,11,1,2230,0,13.0,Entertainment,0.1444,0
TXN100275,2516.39,21,0,301,0,15.0,Travel,0.0663,0
TXN100276,4299.21,12,2,1122,0,28.6,Grocery,0.2267,0
TXN100277,939.04,13,2,1017,0,3.0,Entertainment,0.2354,0
TXN100278,1460.75,18,0,1965,0,12.6,Fashion,0.0,0
TXN100279,2033.45,0,5,149,0,30.9,Fashion,0.0679,1
TXN100280,441.05,13,1,612,0,12.5,Dining,0.2097,0
TXN100281,1774.11,12,1,1854,0,85.3,Grocery,0.2855,0
TXN100282,1305.32,12,1,2015,0,52.8,Dining,0.0534,0
TXN100283,2804.67,9,1,2953,1,9.9,Utilities,0.3644,0
TXN100284,1571.37,5,1,821,0,31.9,Electronics,0.0184,0
TXN100285,3349.12,17,2,769,0,6.7,Grocery,0.4119,0
TXN100286,2843.55,21,1,317,0,12.0,Entertainment,0.0802,0
TXN100287,1755.46,15,1,1667,0,46.9,Entertainment,0.101,0
TXN100288,1060.74,13,1,2860,1,2.6,Dining,0.3688,0
TXN100289,295.68,23,0,2814,0,32.6,Dining,0.219,0
TXN100290,1719.61,15,3,422,0,10.6,Dining,0.1149,0
TXN100291,1282.4,4,2,1725,0,7.0,Dining,0.1054,0
TXN100292,1970.81,12,0,536,1,28.3,Utilities,0.1294,0
TXN100293,1067.67,12,3,104,0,19.0,Grocery,0.1173,0
TXN100294,397.71,19,3,2416,0,15.0,Dining,0.2502,0
TXN100295,1641.62,20,0,814,0,44.4,Entertainment,0.2229,0
TXN100296,981.64,0,1,2523,0,28.6,Utilities,0.0,0
TXN100297,1226.21,23,1,1392,0,30.2,Grocery,0.1489,0
TXN100298,2760.55,18,1,1152,0,7.6,Travel,0.3136,0
TXN100299,596.09,12,0,145,0,1.3,Fashion,0.0,0
TXN100300,1055.81,19,2,537,0,11.4,Entertainment,0.0191,0
TXN100301,2010.43,18,0,363,0,11.6,Travel,0.149,0
TXN100302,799.37,15,1,2929,0,19.6,Grocery,0.0,0
TXN100303,1032.42,15,1,2934,0,22.1,Grocery,0.0,0
TXN100304,806.16,21,2,1711,0,7.7,Grocery,0.2321,0
TXN100305,1976.42,9,0,2416,0,7.4,Entertainment,0.1601,0
TXN100306,4363.29,22,0,1969,0,2.2,Fashion,0.3143,0
TXN100307,1344.81,9,1,1519,0,11.1,Fashion,0.0103,0
TXN100308,3774.86,21,1,695,0,16.1,Travel,0.0572,0
TXN100309,1804.58,9,1,2316,1,52.3,Utilities,0.1692,0
TXN100310,1653.65,8,2,142,0,68.6,Online Services,0.0318,1
TXN100311,1101.09,19,2,46,0,12.2,Entertainment,0.0,0
TXN100312,1276.76,22,3,2950,0,31.2,Utilities,0.0495,0
TXN100313,1369.67,10,1,263,0,31.3,Entertainment,0.0,0
TXN100314,3615.5,23,2,1983,0,22.8,Grocery,0.1549,0
TXN100315,1021.16,17,1,1495,0,23.3,Grocery,0.044,0
TXN100316,1775.97,3,0,1640,0,26.4,Online Services,0.0092,0
TXN100317,1885.09,23,0,1130,0,9.2,Electronics,0.1937,0
TXN100318,2326.52,13,0,1022,0,30.1,Utilities,0.2064,0
TXN100319,1071.66,4,4,1357,0,261.4,Electronics,0.0875,1
TXN100320,496.31,13,0,78,0,38.1,Online Services,0.1683,0
TXN100321,2205.65,21,0,2020,0,56.1,Dining,0.0,0
TXN100322,1128.76,11,1,536,0,11.3,Entertainment,0.0,0
TXN100323,1003.5,18,2,2354,0,8.7,Online Services,0.2029,0
TXN100324,709.13,16,3,1021,0,47.4,Fashion,0.0563,0
TXN100325,7454.32,9,0,2555,0,37.0,Electronics,0.2768,0
TXN100326,2151.29,16,0,457,0,18.4,Travel,0.0748,0
TXN100327,1662.2,22,3,559,0,43.9,Electronics,0.2187,0
TXN100328,1608.88,13,2,1975,0,14.9,Utilities,0.0359,0
TXN100329,1101.53,13,2,784,0,1.6,Fashion,0.1246,0
TXN100330,2114.8,16,0,784,0,17.6,Grocery,0.3185,0
TXN100331,3629.42,11,0,2411,0,6.5,Entertainment,0.233,0
TXN100332,2595.97,22,2,2566,0,41.9,Travel,0.3177,0
TXN100333,908.94,6,1,433,0,6.7,Dining,0.2962,0
TXN100334,3711.18,18,3,2399,0,48.4,Fashion,0.285,0
TXN100335,1479.47,1,1,1060,0,23.2,Fashion,0.1654,0
TXN100336,634.0,13,1,1399,0,10.2,Dining,0.1984,0
TXN100337,1922.62,18,0,1764,0,10.9,Grocery,0.0743,0
TXN100338,1752.37,7,1,1727,0,19.0,Fashion,0.2122,0
TXN100339,769.19,19,0,2087,0,65.9,Fashion,0.0,0
TXN100340,2701.9,13,1,1058,0,52.9,Dining,0.1569,0
TXN100341,748.82,16,1,2095,0,16.7,Fashion,0.254,0
TXN100342,1510.7,22,3,2023,1,17.0,Dining,0.4104,0
TXN100343,855.97,16,1,976,0,19.3,Travel,0.234,0
TXN100344,1946.67,14,3,1676,0,7.2,Entertainment,0.4039,0
TXN100345,1034.54,16,0,1054,0,39.6,Entertainment,0.0644,0
TXN100346,785.03,12,1,2725,0,1.6,Online Services,0.0755,0
TXN100347,4826.72,14,1,95,1,60.0,Dining,0.432,1
TXN100348,2223.74,13,1,2463,0,11.9,Dining,0.3082,0
TXN100349,1446.02,5,0,941,0,40.9,Electronics,0.0,0
TXN100350,2150.0,18,1,945,0,15.4,Grocery,0.0394,0
TXN100351,776.18,8,0,2629,0,6.7,Travel,0.0,0
TXN100352,1128.77,20,0,2045,0,30.1,Grocery,0.2376,0
TXN100353,2557.21,21,0,1558,0,49.9,Electronics,0.0741,0
TXN100354,830.68,13,1,2056,0,4.6,Fashion,0.1279,0
TXN100355,1995.42,1,0,1608,0,44.8,Entertainment,0.0672,0
TXN100356,1157.52,8,1,873,0,7.6,Utilities,0.2163,0
TXN100357,1777.12,16,2,875,0,20.5,Online Services,0.052,0
TXN100358,3051.92,11,0,501,0,31.4,Grocery,0.0,0
TXN100359,790.22,20,1,2406,0,33.4,Entertainment,0.03,0
TXN100360,1019.93,7,0,2058,0,55.1,Dining,0.1561,0
TXN100361,240.51,9,1,2711,0,4.2,Online Services,0.2041,0
TXN100362,2623.59,9,1,2164,0,65.7,Utilities,0.1048,0
TXN100363,2121.31,12,0,801,0,12.9,Electronics,0.194,0
TXN100364,1563.73,15,0,2840,0,9.3,Online Services,0.1531,0
TXN100365,1210.78,8,1,909,0,17.7,Utilities,0.1336,0
TXN100366,112.38,18,2,424,1,22.1,Online Services,0.5693,0
TXN100367,2592.42,17,1,50,0,18.7,Electronics,0.1414,0
TXN100368,1506.72,20,0,306,1,22.3,Electronics,0.0821,0
TXN100369,1634.41,4,2,2311,0,17.8,Online Services,0.173,0
TXN100370,2875.16,10,1,1873,0,57.6,Electronics,0.1115,0
TXN100371,751.94,16,0,2508,0,23.0,Utilities,0.0,0
TXN100372,1884.19,17,1,869,1,32.8,Grocery,0.3378,0
TXN100373,597.24,11,0,2769,0,5.0,Electronics,0.207,0
TXN100374,847.9,12,1,2085,0,18.6,Electronics,0.071,0
TXN100375,1749.26,7,3,2484,0,,Electronics,0.0837,0
TXN100376,408.76,19,2,1760,0,14.1,Online Services,0.2668,0
TXN100377,5434.82,15,1,1736,0,26.0,Grocery,0.0758,0
TXN100378,2626.98,15,2,2244,0,59.1,Electronics,0.2404,0
TXN100379,1005.74,20,1,1047,0,40.8,Online Services,0.0735,0
TXN100380,2143.72,7,0,797,1,36.4,Entertainment,0.1209,0
TXN100381,2139.01,9,1,2084,0,3.5,Dining,0.0,0
TXN100382,3064.75,16,2,700,0,2.8,Electronics,0.0,0
TXN100383,3241.15,22,1,143,0,162.0,Fashion,0.1961,1
TXN100384,620.09,5,0,2963,0,9.3,Online Services,0.0,0
TXN100385,2010.66,14,0,255,0,17.1,Travel,0.0,0
TXN100386,280.95,9,0,1405,0,65.0,Grocery,0.2216,0
TXN100387,579.64,4,0,199,0,13.6,Entertainment,0.0,0
TXN100388,399.15,7,0,555,1,1.9,Grocery,0.1665,0
TXN100389,2706.07,17,4,2038,0,19.0,Dining,0.2394,0
TXN100390,3436.06,18,2,1619,0,27.8,Fashion,0.0,0
TXN100391,2585.77,21,2,694,0,19.7,Online Services,0.1022,0
TXN100392,1900.61,15,1,1463,0,58.7,Grocery,0.2469,0
TXN100393,1916.51,11,2,974,0,15.8,Dining,0.0458,0
TXN100394,5171.59,21,4,1497,1,22.5,Utilities,0.2788,0
TXN100395,1211.69,19,1,1392,0,9.6,Grocery,0.1873,0
